@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus {ok,timeout,memout,not_applicable,crash,other}

@data
sat/10-3-13.cnf.bz2,1,abcdsat_r18,641.102405,ok
sat/10-3-13.cnf.bz2,1,CaDiCaL,5001.009824,timeout
sat/10-3-13.cnf.bz2,1,cms55.main.all4fixed,2709.617786,ok
sat/10-3-13.cnf.bz2,1,COMiniSatPS_Pulsar_drup,5001.010031,timeout
sat/10-3-13.cnf.bz2,1,expMC_LRB_VSIDS_Switch,5000.774586,timeout
sat/10-3-13.cnf.bz2,1,expMC_LRB_VSIDS_Switch_2500,1799.760677,ok
sat/10-3-13.cnf.bz2,1,expMC_VSIDS_LRB_Switch_2500,5000.168122,timeout
sat/10-3-13.cnf.bz2,1,GHackCOMSPS_drup,5001.010872,timeout
sat/10-3-13.cnf.bz2,1,glu_mix,5001.009941,timeout
sat/10-3-13.cnf.bz2,1,Glucose_Hack_Kiel_fastBVE,5001.008353,timeout
sat/10-3-13.cnf.bz2,1,glucose.3.0_PADC_10,5001.009864,timeout
sat/10-3-13.cnf.bz2,1,glucose.3.0_PADC_3,5001.009259,timeout
sat/10-3-13.cnf.bz2,1,glucose4.2.1,5001.010223,timeout
sat/10-3-13.cnf.bz2,1,gluHack,5001.00956,timeout
sat/10-3-13.cnf.bz2,1,inIDGlucose,5000.796941,timeout
sat/10-3-13.cnf.bz2,1,Maple_CM,5001.009319,timeout
sat/10-3-13.cnf.bz2,1,Maple_CM_Dist,5001.008094,timeout
sat/10-3-13.cnf.bz2,1,Maple_CM_ordUIP,5001.009204,timeout
sat/10-3-13.cnf.bz2,1,Maple_CM_ordUIP.,5001.00741,timeout
sat/10-3-13.cnf.bz2,1,Maple_LCM_M1,5000.578051,timeout
sat/10-3-13.cnf.bz2,1,Maple_LCM_Scavel_200_fix2,2581.476053,ok
sat/10-3-13.cnf.bz2,1,Maple_LCM_Scavel_fix2,5000.709091,timeout
